Local,Média TSI-2A,Média C7,Média F5,Média D0,Média F6,Média C8
B1A,-46,-78,-72,-70,-81,-59
B1B,null,-82,-85,null,-76,-55
B1C,null,null,null,-78,null,-58
B2A,null,-88,null,null,null,-60
B2B,null,-78,-79,-80,-80,-59
B3A,null,null,null,78,-77,-57
B3B,null,null,null,-80,-80,-52
B4A,-77,null,-84,-75,-72,-72
B4B,-78,-81,-80,-72,-70,-67
B4C,-76,-76,-81,-67,-62,-67
B5A,null,-76,-80,-67,-61,-69
B5B,null,-79,-80,-68,-59,-71
B6A,-77,-81,-78,-62,-76,-80
B6B,-68,-75,-76,-54,-73,-74
B6C,-72,-73,-72,-62,-72,-75
B7A,null,-78,-78,-65,-74,-78
B7B,null,-81,-77,-69,-74,-76
B8A,null,-77,-75,-66,-81,null
B8B,-82,-74,-76,-64,-80,null
B9A,-73,-66,-62,-69,-76,null
B9B,-70,-59,-63,-68,-81,-83
B9C,-70,-57,-75,-75,null,-79
B10.1,-63,-73,-70,-68,null,-85
B10.2,-57,-70,-65,-70,-78,-81
B10.3,-56,-70,-67,-75,null,null
B10.4,-56,-65,-72,-72,null,null
B10.5,-64,-75,-78,-60,-76,-76
B11A,-78,-52,-73,-73,-78,-76
B11B,-77,-58,-68,-74,null,-78
B11C,-83,-67,-82,-78,-79,-79
B12A,-63,-56,-74,-77,null,-83
B12B,-67,-63,-77,-79,82,null
B12C,-72,-64,-77,-78,null,-78
WC-M,null,-77,-80,-70,-57,-71
WC-F,null,-76,-80,-78,-71,-60
C1,null,-61,-69,-61,-61,-43
C2,null,-48,-59,-53,-49,-52
C3,-67,-58,-60,-48,58,-57
C4,-55,-46,-57,-52,-54,-55
C5,null,-48,-60,-58,-64,-57